,channelId,channelTitle,video_id,title,thumbnail_url,tags,view_count,like_count,comment_count,duration
0,UC16niRr50-MSBwiO3YDb3RA,BBC News,LCTFS_hPQDQ,Life in the Trump family: an interview with Fred Trump III | BBC Americast,https://i.ytimg.com/vi/LCTFS_hPQDQ/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",30983,494,199,PT24M32S
1,UC16niRr50-MSBwiO3YDb3RA,BBC News,K2XBDJEMt3o,Has America ever been more divided? | BBC Americast,https://i.ytimg.com/vi/K2XBDJEMt3o/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",18019,428,282,PT24M22S
2,UC16niRr50-MSBwiO3YDb3RA,BBC News,SokzVk826Dk,Can you buy the White House? | BBC Americast,https://i.ytimg.com/vi/SokzVk826Dk/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",11249,160,61,PT24M35S
3,UC16niRr50-MSBwiO3YDb3RA,BBC News,sBHti4FdbYY,Why President Joe Biden dropped out of the US election race | BBC Americast,https://i.ytimg.com/vi/sBHti4FdbYY/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",16042,159,87,PT26M45S
4,UC16niRr50-MSBwiO3YDb3RA,BBC News,kWBSsJ4O3xg,Could Kamala Harris beat Donald Trump in the race to be US president? | BBC Americast,https://i.ytimg.com/vi/kWBSsJ4O3xg/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",38563,427,532,PT5M1S
5,UC16niRr50-MSBwiO3YDb3RA,BBC News,r9UkTi1BYGg,Trump recounts assassination attempt in RNC speech | BBC Americast,https://i.ytimg.com/vi/r9UkTi1BYGg/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",14230,374,129,PT24M31S
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,9sol4fB4yU0,JD Vance makes his VP pitch to America | BBC Americast,https://i.ytimg.com/vi/9sol4fB4yU0/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",11386,191,123,PT18M14S
7,UC16niRr50-MSBwiO3YDb3RA,BBC News,ICrme3QBxKA,Trump's defeated Republican rivals show united front at RNC | BBC Americast,https://i.ytimg.com/vi/ICrme3QBxKA/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",14183,296,148,PT24M11S
8,UC16niRr50-MSBwiO3YDb3RA,BBC News,Gsp4F3ZpHWY,"Who is JD Vance, Donald Trump’s vice-presidential pick? | BBC Americast",https://i.ytimg.com/vi/Gsp4F3ZpHWY/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",15576,163,101,PT26M
9,UC16niRr50-MSBwiO3YDb3RA,BBC News,B0rxLqtQrDg,How the US Secret Service failed Donald Trump | BBC Americast,https://i.ytimg.com/vi/B0rxLqtQrDg/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",26196,582,211,PT36M15S
110,UC16niRr50-MSBwiO3YDb3RA,BBC News,xmpLXAu_6UE,Sir Keir Starmer begins tour of UK nations in first few days as PM | BBC News,https://i.ytimg.com/vi/xmpLXAu_6UE/mqdefault.jpg,"['bbc', 'bbc news', 'news', 'world news', 'breaking news', 'us news', 'world', 'america', 'usa', 'usa news', 'india news']",86851,1133,713,PT7M56S
